n,d_n,maxP,SSD_flag
1,1,1,1
2,3,4,1
3,2,6,1
4,2,8,1
5,7,15,1
6,12,27,1
7,21,48,1
8,42,90,1
9,82,172,1
10,157,329,1
11,302,631,1
12,604,1235,1
13,1187,2422,1
14,2332,4754,1
15,4582,9336,1
16,9007,18343,1
17,18014,36357,1
18,35726,72083,1
19,70848,142931,1
20,140509,283440,1
21,278686,562126,1
22,552790,1114916,1
23,1105580,2220496,1
24,2202153,4422649,1
25,4386292,8808941,1
26,8736858,17545799,1
27,17402868,34948667,1
28,34665227,69613894,1
29,69051768,138665662,1
30,138103536,276769198,1
31,275654282,552423480,1
32,550202984,1102626464,1
